"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2005-01-03",4.627143,4.650714,4.471428,4.520714,172998000,3.933478
"2005-01-04",4.556428,4.676429,4.497857,4.567143,274202600,3.973876
"2005-01-05",4.604286,4.660714,4.575,4.607143,170108400,4.00868
"2005-01-06",4.619286,4.636428,4.523571,4.610714,176388800,4.011787
"2005-01-07",4.642857,4.973571,4.625,4.946429,556862600,4.303892
"2005-01-10",4.987857,5.05,4.848571,4.925714,431327400,4.285868
"2005-01-11",4.875,4.939286,4.581429,4.611429,652906800,4.012408
"2005-01-12",4.675,4.707143,4.521429,4.675714,479925600,4.068344
"2005-01-13",5.265,5.315714,4.980714,4.985714,791179200,4.338075
"2005-01-14",5.017857,5.122857,4.942143,5.014286,442685600,4.362935
"2005-01-18",4.989286,5.05,4.839286,5.046429,251615000,4.390902
"2005-01-19",5.035,5.104286,4.982143,4.991428,187973800,4.343046
"2005-01-20",4.975,5.090714,4.962143,5.032857,228730600,4.379093
"2005-01-21",5.093572,5.114286,5,5.035,227833200,4.380958
"2005-01-24",5.07,5.127143,5.039286,5.054286,210407400,4.397739
"2005-01-25",5.097857,5.202857,5.067143,5.146429,242307800,4.477911
"2005-01-26",5.19,5.196429,5.087143,5.160714,184874200,4.490341
"2005-01-27",5.154286,5.208571,5.110714,5.188571,124056800,4.514582
"2005-01-28",5.187143,5.284286,5.174286,5.284286,200403000,4.597862
"2005-01-31",5.327143,5.563571,5.322143,5.492857,420274400,4.77934
"2005-02-01",5.503572,5.555,5.47,5.537857,169598800,4.818494
"2005-02-02",5.567857,5.707857,5.549286,5.687857,255015600,4.94901
"2005-02-03",5.65,5.673572,5.523571,5.557857,182912800,4.835896
"2005-02-04",5.562143,5.637857,5.537857,5.631429,140889000,4.899911
"2005-02-07",5.637857,5.667857,5.535714,5.638571,131114200,4.906126
"2005-02-08",5.647857,5.812857,5.627857,5.778572,222504800,5.02794
"2005-02-09",5.788571,5.856429,5.578571,5.624286,297864000,4.893696
"2005-02-10",5.622857,5.662857,5.475714,5.597143,273254800,4.870079
"2005-02-11",5.704286,5.84,5.638571,5.800714,300263600,5.047207
"2005-02-14",5.909286,6.056428,5.860714,6.045,317865800,5.259759
"2005-02-15",6.19,6.362857,6.142857,6.315,578054400,5.494687
"2005-02-16",6.296429,6.442857,6.239286,6.437857,409810800,5.601586
"2005-02-17",6.475,6.491428,6.246428,6.272143,379618400,5.457398
"2005-02-18",6.267143,6.275714,6.160714,6.200714,290813600,5.395248
"2005-02-22",6.164286,6.307143,6.092143,6.092143,304823400,5.300779
"2005-02-23",6.194286,6.317857,6.110714,6.302143,336295400,5.483499
"2005-02-24",6.32,6.379286,6.266428,6.352143,379757000,5.527005
"2005-02-25",6.401429,6.422143,6.299286,6.356429,228877600,5.530734
"2005-02-28",6.382857,6.448571,6.28,6.408571,162902600,5.576104
"2005-03-01",6.427143,6.444286,6.308571,6.357143,117047000,5.531356
"2005-03-02",6.321429,6.412857,6.297143,6.302857,114540300,5.484123
"2005-03-03",6.338572,6.344285,5.888571,5.97,352913400,5.194502
