"","C.Open","C.High","C.Low","C.Close","C.Volume","C.Adjusted"
"2015-01-05",53.91,53.959999,52.330002,52.549999,20945400,48.679096
"2015-01-06",52.68,52.77,50.529999,50.700001,31989300,46.965363
"2015-01-07",51.509998,51.549999,50.619999,51.169998,27890800,47.400742
"2015-01-08",51.77,52.080002,51.5,51.939999,17467200,48.114017
"2015-01-09",52.169998,52.240002,50.77,50.779999,20180200,47.039471
"2015-01-12",50.82,50.91,50.029999,50.380001,22725800,46.668934
"2015-01-13",50.66,51.23,49.610001,50.02,23201800,46.335453
"2015-01-14",48.959999,49.099998,47.77,49.049999,44630800,45.436905
"2015-01-15",48.060001,48.240002,46.91,47.23,48799400,43.750965
"2015-01-16",46.700001,47.689999,46.599998,47.610001,32307000,44.102974
"2015-01-20",47.98,48,47.150002,47.259998,25561000,43.778755
"2015-01-21",47.369999,48.23,47.150002,47.740002,22873300,44.2234
"2015-01-22",48.259998,49.75,47.93,49.57,29652600,45.918606
"2015-01-23",49.490002,49.759998,48.610001,48.619999,18984700,45.038582
"2015-01-26",48.48,49.029999,48.41,48.889999,13817500,45.288689
"2015-01-27",48.040001,48.650002,47.77,48.310001,16401200,44.751415
"2015-01-28",48.369999,48.509998,47.110001,47.110001,26065300,43.639809
"2015-01-29",47.07,47.779999,46.830002,47.619999,19865700,44.121601
"2015-01-30",47.09,47.73,46.900002,46.950001,23729800,43.500839
"2015-02-02",47.200001,47.77,46.900002,47.720001,19178200,44.21426
"2015-02-03",48.459999,49.220001,48.349998,48.880001,25220200,45.289043
"2015-02-04",48.57,49,48.299999,48.400002,19581800,44.844292
"2015-02-05",48.740002,49,48.220001,48.540001,15481900,44.974014
"2015-02-06",49.400002,49.950001,49.060001,49.139999,25881500,45.529942
"2015-02-09",48.860001,49.509998,48.439999,49.209999,16364900,45.594795
"2015-02-10",50,50.060001,49.139999,49.389999,17223700,45.76157
"2015-02-11",49.150002,49.880001,49.110001,49.68,13079500,46.030262
"2015-02-12",49.939999,51.09,49.77,50.889999,28926800,47.151375
"2015-02-13",51.009998,51.490002,50.810001,51.200001,17448500,47.438602
"2015-02-17",50.950001,51.799999,50.900002,51.689999,14569400,47.892601
"2015-02-18",51.299999,51.669998,51.09,51.419998,17666800,47.642437
"2015-02-19",51.279999,51.540001,51.040001,51.119999,11272000,47.364471
"2015-02-20",51.049999,51.91,50.360001,51.779999,19429400,47.975983
"2015-02-23",51.529999,51.540001,50.75,51.32,15282600,47.549782
"2015-02-24",51.419998,52.299999,51.389999,51.900002,20250900,48.087173
"2015-02-25",51.650002,52.110001,51.549999,52.09,10666000,48.26321
"2015-02-26",52.029999,52.490002,51.91,52.41,16358100,48.5597
"2015-02-27",52.32,52.869999,52.169998,52.419998,18588400,48.568974
"2015-03-02",52.419998,53.52,52.049999,53.490002,19384200,49.560368
"2015-03-03",53.939999,54,53.43,53.73,24281900,49.782726
"2015-03-04",53.48,53.860001,53.240002,53.669998,14698100,49.727142
"2015-03-05",53.709999,53.73,53.150002,53.560001,13853800,49.625229
"2015-03-06",53.75,54.009998,52.93,53.060001,40296600,49.161949
"2015-03-09",52.880001,53.169998,52.77,52.950001,17542600,49.060028
"2015-03-10",52.07,52.299999,51.23,51.23,29061300,47.4664
"2015-03-11",51.619999,52.759998,51.52,52.330002,32443600,48.485584
"2015-03-12",54,54.720001,53.450001,54.080002,50191200,50.107025
"2015-03-13",53.900002,54.240002,53.259998,53.540001,20780600,49.606689
"2015-03-16",53.740002,54.040001,53.400002,53.689999,17031600,49.745674
"2015-03-17",53.209999,53.990002,53.16,53.84,13902900,49.884644
"2015-03-18",53.419998,53.939999,53.169998,53.720001,18383700,49.773483
"2015-03-19",53.57,53.619999,52.200001,52.380001,21150000,48.53191
"2015-03-20",52.439999,53.169998,52.41,52.98,22466200,49.087826
"2015-03-23",53.029999,53.049999,52.48,52.48,13148900,48.624557
"2015-03-24",52.349998,52.439999,51.939999,51.939999,12887700,48.124233
"2015-03-25",51.98,52.110001,51.349998,51.380001,15418200,47.605373
"2015-03-26",51.189999,51.459999,50.470001,51.189999,21839600,47.429337
"2015-03-27",51.490002,51.490002,50.720001,51,16052400,47.253292
"2015-03-30",51.330002,52,51.310001,51.639999,13289200,47.846279
"2015-03-31",51.259998,51.77,51.16,51.52,13928900,47.735096
"2015-04-01",51.369999,51.900002,51.009998,51.619999,21577700,47.827747
"2015-04-02",51.68,52.220001,51.59,51.860001,13966900,48.050121
"2015-04-06",51.16,51.959999,50.98,51.619999,13250800,47.827747
"2015-04-07",51.830002,51.93,51.389999,51.52,11562700,47.735096
"2015-04-08",51.669998,52.220001,51.630001,51.889999,11773000,48.077908
"2015-04-09",51.73,52.209999,51.689999,52.130001,13591400,48.300274
