"","600639.SS.Open","600639.SS.High","600639.SS.Low","600639.SS.Close","600639.SS.Volume","600639.SS.Adjusted"
"2007-01-04",10.8182,10.9636,10.1364,10.2636,13089679,8.828354
"2007-01-05",10.2727,10.3364,9.87273,9.95455,6022959,8.562518
"2007-01-08",9.95455,10.7727,9.91818,10.6364,8308553,9.149018
"2007-01-09",10.6273,11.3091,10.4545,10.9636,13192443,9.430463
"2007-01-10",10.9727,12.0636,10.8182,11.9909,18060041,10.314106
"2007-01-11",11.8182,12.0636,11.4818,11.5455,9419465,9.93099
"2007-01-12",11.4364,11.8182,10.8182,10.8636,6387970,9.344448
"2007-01-15",10.9182,11.7455,10.8182,11.7364,7178978,10.095195
"2007-01-16",11.8182,12.2273,11.4545,12.1364,10797063,10.439263
"2007-01-17",12.0909,12.0909,10.9273,10.9273,25480837,9.39924
"2007-01-18",10.7273,10.9909,10.4364,10.8455,15064860,9.328879
"2007-01-19",11.2545,11.5909,10.9091,11.4636,10734434,9.860543
"2007-01-22",11.5,12.1454,11.0455,12.1,12842271,10.407952
"2007-01-23",12.1,12.7273,11.6091,12.6454,10750564,10.877082
"2007-01-24",12.5455,13.0909,12.1909,12.6818,7351057,10.908393
"2007-01-25",12.5364,13.6364,12.3636,12.5727,11164253,10.814549
"2007-01-26",12.4091,13.5727,12.2273,13.2727,8489567,11.416661
"2007-01-29",13.3636,13.8636,13.1364,13.6364,5275106,11.729504
"2007-01-30",13.7091,13.7273,12.9545,13.0455,6796230,11.221232
"2007-01-31",12.6364,12.9091,12,12.1273,4354742,10.431433
"2007-02-01",12,12.5909,11.8364,12.5727,2970253,10.814549
"2007-02-02",12.5273,12.5273,11.9273,12.1818,2576638,10.478313
"2007-02-05",12.0909,12.0909,11.6364,11.6454,2919457,10.016921
"2007-02-06",11.7273,11.9727,10.9091,11.5818,5180470,9.962217
"2007-02-07",11.7364,11.9727,11.5818,11.7091,3685800,10.071714
"2007-02-08",11.9364,11.9364,11.5,11.8727,2625932,10.212436
"2007-02-09",11.8727,12.5727,11.8727,12.5273,6833318,10.775498
"2007-02-12",12.6182,13.1636,12.6182,12.9182,5135369,11.111733
"2007-02-13",13.1636,13.2545,12.6818,12.9273,3567042,11.119562
"2007-02-14",12.8364,13.1818,12.6818,13.0455,4846653,11.221232
"2007-02-15",13.0455,13.6727,12.9273,13.4818,5230207,11.596523
"2007-02-16",13.6454,13.6454,12.8182,12.8636,7367680,11.06477
"2007-02-26",12.8636,12.9364,12.4182,12.7636,5827448,10.978753
"2007-02-27",12.7636,13.3636,11.4909,11.5091,7944432,9.899681
"2007-02-28",11.5909,12,11.4364,11.9727,7179190,10.298452
"2007-03-01",11.9545,11.9545,10.9727,11.2545,7411575,9.680685
"2007-03-02",11.2545,11.7,11.2364,11.4909,3670500,9.884026
"2007-03-05",11.4909,11.9091,11.1818,11.5455,5356818,9.93099
"2007-03-06",11.6,11.8636,11.4545,11.7,4765614,10.063887
"2007-03-07",11.7545,12.3636,11.7545,12.3364,12077099,10.611295
"2007-03-08",12.6,13.5455,12.3273,13.3818,20208398,11.510505
"2007-03-09",13.3818,13.3818,12.6364,12.9545,12980408,11.14296
"2007-03-12",13.1364,13.2273,12.2727,12.7091,11036338,10.931875
"2007-03-13",12.5909,12.7091,12.2182,12.6636,13644393,10.892736
"2007-03-14",12.5,12.5,12.0455,12.3364,8121001,10.611295
"2007-03-15",12.4909,13.0909,12.3727,12.8182,15924565,11.025716
"2007-03-16",12.7364,12.8727,12.1273,12.4364,9951382,10.697309
"2007-03-19",11.8182,12.3455,11.5455,12.1727,12147278,10.470484
"2007-03-20",12.2727,12.3546,12.0909,12.3182,7478834,10.595638
"2007-03-21",12.4273,13.1818,12.3182,13,17079270,11.182096
"2007-03-22",13,13.3546,12.6454,12.7182,12234564,10.939703
"2007-03-23",12.6454,12.8182,12.4182,12.7364,8092278,10.955359
"2007-03-26",12.7364,13.1636,12.5091,13.1364,12607522,11.299421
"2007-03-27",13.1818,13.8182,13.0182,13.5364,16778154,11.643485
"2007-03-28",13.4909,13.6091,12.5455,13.1636,11827243,11.322818
"2007-03-29",13.1818,13.6909,13,13.0455,10159204,11.221232
"2007-03-30",12.8727,13.2636,12.7273,13.1727,7934970,11.330647
"2007-04-02",13.2273,13.7727,13.0909,13.7364,13682508,11.815516
"2007-04-03",13.7545,14.6909,13.6545,14.3455,24913789,12.339442
"2007-04-04",14.1909,14.5,13.9273,14.0818,11482510,12.112619
"2007-04-05",14,15,14,14.6182,12774647,12.574009
"2007-04-06",14.4454,15.5455,14.3182,15.1727,11818815,13.050969
"2007-04-09",15.1636,15.3273,14.7182,14.9,14729252,12.816401
"2007-04-10",14.9091,14.9909,14.1091,14.5636,16426146,12.527046
"2007-04-11",14.6182,14.9364,14.1818,14.5091,18188415,12.480166
"2007-04-12",14.5455,14.8546,14.4727,14.8364,10817411,12.761698
"2007-04-13",14.9,15,14.2273,14.3273,16647102,12.32379
"2007-04-16",14.3182,14.7091,14.2818,14.5273,9873308,12.49582
"2007-04-17",14.6,15.4091,14.6,15.0727,18067724,12.964952
"2007-04-18",15.2545,15.9091,15.2364,15.4091,18280024,13.254313
"2007-04-19",15.2727,15.2727,13.8727,13.9364,12895183,11.987552
"2007-04-20",14.1364,14.7636,14.1364,14.6818,8020077,12.628716
"2007-04-23",14.7273,15.1364,14.6545,15.0909,11870177,12.980608
"2007-04-24",15.1818,16.172701,15.0455,15.7727,21594795,13.567067
"2007-04-25",15.7091,16.3454,15.5909,16,20414304,13.762579
"2007-04-26",15.9454,16.254601,15.6,16.1546,10209863,13.89556
"2007-04-27",16.0909,16.6364,15.2273,16.0455,19482789,13.801717
"2007-04-30",16,17.6546,15.9091,17.6546,23916329,15.185805
"2007-05-03",16,17.6546,15.9091,17.6546,0,15.185805
"2007-05-04",16,17.6546,15.9091,17.6546,0,15.185805
"2007-05-08",18.4182,19.3454,18,18.4818,22835324,15.897329
"2007-05-09",18.4818,19.181801,16.8636,18.172701,17451794,15.631454
"2007-05-10",17.9909,17.9909,17.0091,17.4454,9713525,15.005858
"2007-05-11",17.181801,17.272699,16.5818,17.190901,10631523,14.786945
"2007-05-14",16.818199,18,16.709101,17.772699,12012805,15.28739
"2007-05-15",18,18.172701,16.5273,16.6,11408672,14.278677
"2007-05-16",16.3636,17.0818,15.9091,16.9545,7214723,14.583604
"2007-05-17",16.8727,17.4454,16.818199,17.272699,7862302,14.857303
"2007-05-18",17.254601,17.3454,16.772699,17.263599,9777624,14.849477
"2007-05-21",16.4545,17.5455,16.3636,17.190901,9109040,14.786945
"2007-05-22",17.190901,18.318199,17.190901,18.0182,13329890,15.498558
"2007-05-23",17.9091,18.790899,17.745399,18.6455,12156950,16.038136
"2007-05-24",19.181801,20.4091,19.0455,19.4,17579891,16.687126
"2007-05-25",19.0818,20.200001,18.754601,19.936399,16753217,17.14852
"2007-05-28",20.218201,21.927299,19.818199,21.1091,20259798,18.157228
"2007-05-29",20.927299,22.200001,20.927299,22.1455,19040552,19.048702
"2007-05-30",20.1364,22.727301,19.927299,20.245399,18167326,17.41431
"2007-05-31",21.0091,22.272699,20.245399,21.8909,24215747,18.829704
"2007-06-01",21.9091,24.0091,20.4727,20.5818,20516282,17.703665
"2007-06-04",20.799999,21.272699,18.5273,18.5273,9511608,15.936465
"2007-06-05",17.936399,19.5909,16.672701,19.5182,14498045,16.788799
"2007-06-06",19.6182,20.799999,18.6364,20.254601,11655193,17.422222
"2007-06-07",20.263599,21.190901,19.8909,20.8818,9684266,17.961712
"2007-06-08",21.254601,22,20.727301,20.9,10192858,17.977371
"2007-06-11",21.6364,21.9454,20.9091,21.4636,8804327,18.462156
"2007-06-12",21.727301,22.799999,21.0909,22.727301,10094451,19.549143
"2007-06-13",23.0091,23.6182,22.5546,22.6364,10418256,19.470953
"2007-06-14",22.327299,22.5909,21.336399,21.6455,9239715,18.618622
"2007-06-15",21.5,21.818199,21.072701,21.436399,5113228,18.438759
"2007-06-18",22.0273,22.709101,21.9091,22.1546,7328461,19.05653
"2007-06-19",22.1364,22.3636,21.1364,21.9454,6945297,18.876579
"2007-06-20",21.818199,22.336399,20.8454,21.209101,6110753,18.243248
"2007-06-21",21.245399,21.672701,20.436399,20.727301,5573117,17.828819
"2007-06-22",20.763599,22.0455,20,20.709101,11419199,17.813166
"2007-06-25",20.9,21.1273,18.781799,19.1182,7214313,16.444735
"2007-06-26",18.6364,19.4545,18.236401,19.4091,5172145,16.694956
"2007-06-27",19.5364,19.727301,18.9091,19.6091,6073322,16.866991
"2007-06-28",19.6091,19.6091,19.6091,19.6091,0,16.866991
"2007-06-29",17.6455,18.6364,17.6455,17.6455,6159777,15.177976
"2007-07-02",16.9,17.6182,16.336399,16.781799,4408615,14.435053
"2007-07-03",17.0909,17.436399,16.727301,17.0364,4308961,14.65405
"2007-07-04",17.072701,17.4,16.072701,16.4545,4307241,14.153522
"2007-07-05",15.9182,16.4454,15.2636,15.3091,4755070,13.168295
"2007-07-06",15.0273,16.4182,15.0273,16.3636,3728034,14.075335
"2007-07-09",16.5273,17.245399,16.3727,17.0546,3438822,14.669704
"2007-07-10",16.9091,17.5182,16.3545,16.4909,6729036,14.184833
"2007-07-11",16.3636,16.818199,15.9545,16.6091,3695552,14.286504
"2007-07-12",16.681801,17.0818,16.5546,16.818199,2266679,14.466363
"2007-07-13",16.818199,16.9091,16.290899,16.8454,1691067,14.489758
"2007-07-16",16.809099,16.8636,16.0818,16.227301,1874731,13.958095
"2007-07-17",16.063601,17.4545,15.6182,17.0546,5568259,14.669704
"2007-07-18",16.9091,17.9091,16.3818,17.6364,9579028,15.170149
"2007-07-19",17.281799,17.6273,17.1455,17.3727,2343877,14.943325
"2007-07-20",17.4091,18.936399,17.4091,18.9,8417743,16.257048
"2007-07-23",19.190901,20.209101,19.0091,19.0909,10420272,16.421253
"2007-07-24",19.181801,20.181801,19.0909,19.563601,7239051,16.827852
"2007-07-25",19.4818,19.727301,19.0818,19.5909,7686433,16.851337
"2007-07-26",19.709101,20.5909,19.327299,20.0364,7653306,17.234537
"2007-07-27",19.8636,20.181801,19.272699,19.836399,5716138,17.062502
"2007-07-30",19.8909,20.727301,19.5455,20.272699,6938643,17.437792
"2007-07-31",20.227301,20.245399,19.4545,19.763599,5699122,16.99988
"2007-08-01",19.763599,20.4454,18.6364,18.745399,8094537,16.124065
"2007-08-02",18.827299,19.5182,18.272699,19.309099,10650131,16.60894
"2007-08-03",19.3727,20.4545,19.200001,20,14171337,17.203226
"2007-08-06",20.227301,20.272699,19.5,19.727301,7664691,16.968662
"2007-08-07",19.790899,20.218201,19,19.572701,11938576,16.83568
"2007-08-08",19.181801,19.3818,18.0909,18.5364,8202143,15.944289
"2007-08-09",18.5364,19.063601,18.181801,19,9300632,16.343063
"2007-08-10",18.818199,18.9545,17.5273,17.745399,8392646,15.263907
"2007-08-13",17.4091,17.6364,16.754601,16.9454,6447780,14.666692
"2007-08-14",17.0455,18.181801,17.0455,18.063601,4281880,15.634522
"2007-08-15",18.072701,18.4091,17.327299,17.5818,4281934,15.217514
