time,sales
Jan-93,977.5
Feb-93,892.5
Mar-93,942.3
Apr-93,941.3
May-93,962.2
Jun-93,1005.7
Jul-93,963.8
Aug-93,959.8
Sep-93,1023.3
Oct-93,1051.1
Nov-93,1102
Dec-93,1415.5
Jan-94,1192.2
Feb-94,1162.7
Mar-94,1167.5
Apr-94,1170.4
May-94,1213.7
Jun-94,1281.1
Jul-94,1251.5
Aug-94,1286
Sep-94,1396.2
Oct-94,1444.1
Nov-94,1553.8
Dec-94,1932.2
Jan-95,1602.2
Feb-95,1491.5
Mar-95,1533.3
Apr-95,1548.7
May-95,1585.4
Jun-95,1639.7
Jul-95,1623.6
Aug-95,1637.1
Sep-95,1756
Oct-95,1818
Nov-95,1935.2
Dec-95,2389.5
Jan-96,1909.1
Feb-96,1911.2
Mar-96,1860.1
Apr-96,1854.8
May-96,1898.3
Jun-96,1966
Jul-96,1888.7
Aug-96,1916.4
Sep-96,2083.5
Oct-96,2148.3
Nov-96,2290.1
Dec-96,2848.6
Jan-97,2288.5
Feb-97,2213.5
Mar-97,2130.9
Apr-97,2100.5
May-97,2108.2
Jun-97,2164.7
Jul-97,2102.5
Aug-97,2104.4
Sep-97,2239.6
Oct-97,2348
Nov-97,2454.9
Dec-97,2881.7
Jan-98,2549.5
Feb-98,2306.4
Mar-98,2279.7
Apr-98,2252.7
May-98,2265.2
Jun-98,2326
Jul-98,2286.1
Aug-98,2314.6
Sep-98,2443.1
Oct-98,2536
Nov-98,2652.2
Dec-98,3131.4
Jan-99,2662.1
Feb-99,2538.4
Mar-99,2403.1
Apr-99,2356.8
May-99,2364
Jun-99,2428.8
Jul-99,2380.3
Aug-99,2410.9
Sep-99,2604.3
Oct-99,2743.9
Nov-99,2781.5
Dec-99,3405.7
Jan-00,2774.7
Feb-00,2805
Mar-00,2627
Apr-00,2572
May-00,2637
Jun-00,2645
Jul-00,2597
Aug-00,2636
Sep-00,2854
Oct-00,3029
Nov-00,3108
Dec-00,3680
