time,export
Dec-00,21986149
Jan-01,16926471
Feb-01,19198624
Mar-01,23139003
Apr-01,22792181
May-01,20813507
Jun-01,22081032
Jul-01,22887692
Aug-01,23540123
Sep-01,23989367
Oct-01,22790526
Nov-01,24000007
Dec-01,24502579
Jan-02,21703291
Feb-02,19137164
Mar-02,23817766
Apr-02,26723688
May-02,24644182
Jun-02,26012762
Jul-02,29209981
Aug-02,29437423
Sep-02,31910755
Oct-02,29946376
Nov-02,31209190
Dec-02,31889489
Jan-03,29775788
Feb-03,32091277
Mar-03,35617074
Apr-03,33842228
May-03,34475859
Jun-03,38109608
Jul-03,37415036
Aug-03,41940698
Sep-03,40925906
Oct-03,41761968
Nov-03,48061529
Dec-03,35712196
Jan-04,34157738
Feb-04,45847915
Mar-04,47124115
Apr-04,44867889
May-04,50496344
Jun-04,51003919
Jul-04,51400194
Aug-04,55803041
Sep-04,52523879
Oct-04,60925461
Nov-04,63784483
Dec-04,50755189
Jan-05,44273164
Feb-05,60869119
Mar-05,62151250
Apr-05,58426919
May-05,65959601
Jun-05,65584266
Jul-05,68399603
Aug-05,70185509
Sep-05,68092010
Oct-05,72217762
Nov-05,75412367
Dec-05,64988815
Jan-06,54108294
Feb-06,78045837
Mar-06,76948177
Apr-06,73113881
May-06,81311219
Jun-06,80337153
Jul-06,90766001
Aug-06,91629488
Sep-06,88127371
Oct-06,95854497
Nov-06,94094055
Dec-06,86619731
Jan-07,82095593
Feb-07,83424155
Mar-07,97449955
Apr-07,94065041
May-07,103268286
Jun-07,107744104
Jul-07,111354781
Aug-07,112373049
Sep-07,107723989
Oct-07,117620807
Nov-07,114415986
Dec-07,109640030
Jan-08,87367796
Feb-08,108962891
Mar-08,118771084
Apr-08,120496491
May-08,121179554
Jun-08,136675046
Jul-08,134872675
Aug-08,136432088
Sep-08,128327028
Oct-08,114987285
Nov-08,111157222
Dec-08,90453600
Jan-09,64894649
Feb-09,90290547
Mar-09,91934722
Apr-09,88757886
May-09,95512025
Jun-09,105420240
Jul-09,103707009
Aug-09,115937994
Sep-09,110762383
Oct-09,113653429
Nov-09,130723881
Dec-09,109475299
Jan-10,94522714
Feb-10,112111793
Mar-10,119920666
Apr-10,131760663
May-10,137395578
Jun-10,145519322
Jul-10,139302230
Aug-10,144985285
Sep-10,135978419
Oct-10,153325762
Nov-10,154148895
Dec-10,150734151
Jan-11,96736127
Feb-11,152199071
Mar-11,155684084
Apr-11,157157191
May-11,161980774
Jun-11,175128036
Jul-11,173315697
Aug-11,169673012
Sep-11,157490772
Oct-11,174464123
Nov-11,174717651
Dec-11,149939113
Jan-12,114470693
Feb-12,165658100
Mar-12,163251712
Apr-12,181140762
May-12,180204470
Jun-12,176940032
Jul-12,177973297
Aug-12,186349509
Sep-12,175571102
Oct-12,179380767
Nov-12,199229682
Dec-12,187365572
Jan-13,139367235
Feb-13,182189999
Mar-13,187061474
Apr-13,182766116
May-13,174315796
Jun-13,185991317
Jul-13,190608317
Aug-13,185643576
Sep-13,185405576
Oct-13,202204803
Nov-13,207742423
Dec-13,207132123
Jan-14,114093694
Feb-14,170107988
Mar-14,188540548
Apr-14,195472920
May-14,186788537
Jun-14,212891063
Jul-14,208465863
Aug-14,213687462
Sep-14,206866715
