year,x,lnx,y,lny
1978,133.6,4.89485,116.1,4.75445
1979,160.7,5.07954,134.5,4.90156
1980,191.3,5.25384,162.2,5.08883
1981,223.4,5.40896,190.8,5.25123
1982,270.1,5.59879,220.2,5.39454
1983,309.8,5.73593,248.3,5.51464
1984,355.3,5.87296,273.8,5.6124
1985,397.6,5.98545,317.4,5.76016
1986,423.8,6.04926,357,5.87774
1987,462.6,6.13686,398.3,5.98721
1988,544.9,6.3006,476.7,6.16689
1989,601.5,6.39943,535.4,6.28301
1990,686.3,6.53131,584.6,6.37093
1991,708.6,6.56329,619.8,6.4294
1992,784,6.66441,659.8,6.49194
1993,921.6,6.82611,769.7,6.646
1994,1221,7.10743,1016.8,6.92442
1995,1577.7,7.36372,1310.4,7.17809
1996,1926.1,7.56325,1572.1,7.36017
1997,2090.1,7.64497,1617.2,7.38845
1998,2162,7.67879,1590.3,7.37168
1999,2210.3,7.70088,1577.4,7.36353
2000,2253.4,7.7202,1670.1,7.42064
2001,2366.4,7.76913,1741,7.46221
2002,2476,7.8144,1834,7.51425
